source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7g,hsa-miR-29b,miRNA,miRNA,miRNA-miRNA,,0.9250265340339752,,,0.9250265340339752,3.815133202330465e-14,2.2073462337149933e-12,,
hsa-let-7g,hsa-miR-25,miRNA,miRNA,miRNA-miRNA,,0.924036271502092,,,0.924036271502092,4.613919002755467e-14,2.4638327474714195e-12,,
hsa-let-7g,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,,0.915528485550574,,,0.915528485550574,2.1403678455432651e-13,9.172286059529898e-12,,
hsa-let-7g,hsa-miR-16 (+++ See note below),miRNA,miRNA,miRNA-miRNA,,0.914795770933707,,,0.914795770933707,2.4242735431778904e-13,9.907362796354541e-12,,
hsa-let-7g,hsa-miR-151-3p,miRNA,miRNA,miRNA-miRNA,,0.9122533952611631,,,0.9122533952611631,3.703262767666847e-13,1.4125302270957829e-11,,
hsa-let-7g,hsa-miR-15a,miRNA,miRNA,miRNA-miRNA,,0.9113952170743963,,,0.9113952170743963,4.2603168919786875e-13,1.5798675141087632e-11,,
hsa-let-7g,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,,0.9106966207682408,,,0.9106966207682408,4.770128480513139e-13,1.6906517313677098e-11,,
hsa-let-7g,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,,0.908592115857486,,,0.908592115857486,6.668350992649148e-13,2.2255621437966532e-11,,
hsa-let-7g,hsa-miR-93,miRNA,miRNA,miRNA-miRNA,,0.9080072440955571,,,0.9080072440955571,7.308538658334348e-13,2.3797314899698427e-11,,
hsa-let-7g,hsa-miR-101,miRNA,miRNA,miRNA-miRNA,,0.904454827202067,,,0.904454827202067,1.2591979320681765e-12,3.5021442485646156e-11,,
hsa-let-7g,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,,0.9041502663825722,,,0.9041502663825722,1.3180138252402032e-12,3.5427150134812174e-11,,
hsa-let-7g,hsa-miR-10b,miRNA,miRNA,miRNA-miRNA,,0.9010166041501779,,,0.9010166041501779,2.090055076255197e-12,5.104067427074429e-11,,
hsa-let-7g,hsa-miR-15b,miRNA,miRNA,miRNA-miRNA,,0.8987239895442882,,,0.8987239895442882,2.9005744692767262e-12,6.526292555872634e-11,,
hsa-let-7g,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,,0.8799797592648986,,,0.8799797592648986,3.254837390612266e-11,4.810193265462039e-10,,
hsa-let-7g,hsa-miR-484,miRNA,miRNA,miRNA-miRNA,,0.8767140723138006,,,0.8767140723138006,4.7596801222553684e-11,6.528259893709846e-10,,
hsa-let-7g,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,,0.8616937177910496,,,0.8616937177910496,2.40473458351491e-10,2.52781155038772e-09,,
hsa-let-7g,hsa-miR-21,miRNA,miRNA,miRNA-miRNA,,0.8603242050284029,,,0.8603242050284029,2.7611956223306017e-10,2.8355355044702715e-09,,
hsa-let-7g,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,,0.8557402820479223,,,0.8557402820479223,4.3402746657020224e-10,4.229391736286278e-09,,
hsa-let-7g,hsa-miR-340,miRNA,miRNA,miRNA-miRNA,,0.8543240423717129,,,0.8543240423717129,4.975614015010071e-10,4.677777964815807e-09,,
hsa-let-7g,hsa-miR-150,miRNA,miRNA,miRNA-miRNA,,0.8531374503300205,,,0.8531374503300205,5.572870237097322e-10,5.0841333256434565e-09,,
